 Hit    Total  Avg    Min    Max   Name
107    70     0      0      26     ReadInputs
 Hit    Total  Avg    Min    Max   Name
65     219    3      3      4      CopyVideoBuffer
65     1453   22     11     653    UnlockVideoBuffer
65     1162   17     16     34     Actor Rendering
65     691    10     9      15     Wall Rendering
65     821    12     11     15     Floor Rendering
65     233    3      3      5      ClearZScreen
65     674    10     9      11     ClearScreen
65     4086   62     56     78     RenderNormalDisplay
1425   2171   1      1      20     LockVideoBuffer
1425   8664   6      1      736    Refresh
1425   446    0      0      39     Process
1425   207    0      0      39     ReadInputs
 Hit    Total  Avg    Min    Max   Name
18     79     4      3      15     CopyVideoBuffer
18     339    18     11     37     UnlockVideoBuffer
18     311    17     15     26     Actor Rendering
18     192    10     9      26     Wall Rendering
18     239    13     11     28     Floor Rendering
18     58     3      3      4      ClearZScreen
18     179    9      9      16     ClearScreen
18     1162   64     56     75     RenderNormalDisplay
3685   2169   0      0      22     LockVideoBuffer
3685   5879   1      0      129    Refresh
3685   492    0      0      21     Process
3685   1728   0      0      422    ReadInputs
 Hit    Total  Avg    Min    Max   Name
59     203    3      3      5      CopyVideoBuffer
59     830    14     12     90     UnlockVideoBuffer
59     977    16     11     19     Actor Rendering
59     734    12     9      28     Wall Rendering
59     708    12     10     15     Floor Rendering
59     204    3      3      5      ClearZScreen
59     645    10     9      26     ClearScreen
59     3715   62     57     78     RenderNormalDisplay
1428   2728   1      1      623    LockVideoBuffer
1428   8178   5      1      625    Refresh
1428   437    0      0      18     Process
1428   738    0      0      503    ReadInputs
 Hit    Total  Avg    Min    Max   Name
